clade,animal,species,care,breedsystem,coop,WPPind,EPPind,WPP,EPP,EPPN,EPPbrN,WGPind,EGPind,WGP,EGP,EGPN,EGPbrN,perEGPbr,latitude,longitude,MeanP,VarP,Pp,MeanT,VarT,Pt,NPP.mean,NPP.var,NPP.P,MGS_duration,MeanP_MGS,VarP_MGS,InterYearVarP_MGS,MeanT_MGS,VarT_MGS,InterYearVarT_MGS,NPP_MGS.mean,NPP_MGS.var,InterYearVar.NPP_MGS,COOP2,transEGP,sdT,SQPt,SQMeanP,sdP,code,ZperEGPbr,Zlatitude,Zlongitude,ZMeanT,ZVarT,ZPt,ZMeanP,ZVarP,ZPp,ZtransEGP,ZsdT,ZSQPt,ZSQMeanP,ZsdP,EGPclass,PC1,PC2,PC3,ZPC1,ZPC2,ZPC3,PC1class,PC2class,PC3class,PC1EGP,TMPavg,TMPsd,TMPmed,TMPcv,TMPprd_Ent,TMPprd_Fix,TMPprd_Dym,PREavg,PREsd,PREmed,PREcv,PREprd_Ent,PREprd_Fix,PREprd_Dym,DTRavg,DTRsd,DTRmed,DTRcv,DTRprd_Ent,DTRprd_Dym,NPPavg,NPPsd,NPPmed,NPPcv,NPPprd_Ent,NPPprd_Dym
PASSERIFORMES,Empidonax_virescens,Empidonax_virescens,Male_Female,Pair,Noncooperative,107,69,32,40,176,72,107,69,32,40,176,72,55.5555555555556,42.73,-80.9,82.11995413,1106.3741,0.642608063,7.953211009,99.91896302,0.51511176,1.033426712,1.213293204,0.885245489,10,77.75504587,1082.290157,190.2515677,14.50249017,29.45258628,0.582901905,1.240233193,1.197074094,0.003861519,0,0.84106867056793,9.99594732979321,0.717712867378034,9.06200607647115,33.2622022722489,animal.Empidonax_virescens,1.49979103946668,0.492636795910491,-0.755279246013488,-0.367931814039105,0.910641651006435,-0.740497639042082,0.0627936615891413,-0.456497617726241,0.358255824347383,1.33807486298386,1.01527606032742,-0.745384976310171,0.233342932698253,-0.482031541478738,1,-9.49080521703191,-0.00908419551559436,0.160376871216226,-0.638111687442505,-0.370790458403548,0.278196246871993,0,0,1,1.97618655042637,8.013,9.592,8.4,1.197,0.876,0.591,0.508,81.26,30.404,78.45,0.374,0.071,0.523,0.217,9.681,2.017,10,0.208,0.62,0.293,1.2e-08,9.07e-09,1.13e-08,0.753,0.808,0.605
PASSERIFORMES,Erithacus_rubecula,Erithacus_rubecula,Male_Female,Pair,Noncooperative,24,1,5,1,25,6,24,1,5,1,25,6,16.6666666666667,52.2,0.13,48.86444954,606.8632993,0.553383403,9.467125382,26.24295107,0.562087531,1.057275898,1.132125357,0.828768685,11,50.78795872,625.2174623,96.38277757,12.10940367,15.31514744,0.447992349,1.155924789,1.115593741,0.012000731,0,0.420534335283965,5.12278743166257,0.749724970239087,6.99031111897031,24.6345955781701,animal.Erithacus_rubecula,-0.231639240757672,0.766189633681957,0.189547486151114,-0.187931604641932,-0.539305427650773,-0.153257288728556,-0.525034180040191,-0.52562731355445,-0.399902597911739,0.0178541200475131,-0.372545488862434,-0.123948418947784,-0.499164256514347,-0.695710360286988,1,-6.14329245561176,2.60486315024399,-3.40749251135672,-0.155691100372613,0.45936182427259,-0.670796071090749,0,1,0,0.173545220420126,9.762,4.9,9.5,0.502,0.821,0.648,0.45,48.005,23.891,45.9,0.498,0.078,0.426,0.211,8.237,2.027,8.5,0.246,0.696,0.342,1.36e-08,7.77e-09,1.38e-08,0.572,0.804,0.599
PASSERIFORMES,Erythropygia_coryphaeus,Erythropygia_coryphaeus,Multi-male_female,Pair,Cooperative,27,6,8,4,33,12,33,0,12,0,33,12,0,-33.41,18.26,30.89579511,767.7569607,0.572267266,16.64464832,10.87809981,0.629006394,0.958093582,0.302533615,0.885535807,12,82.6017038,2771.418545,241.6593376,13.71716907,3.601070336,0.399953816,0.958093582,0.302533615,0.009880416,1,0,3.29819644806067,0.793099233387601,5.5583986102114,27.7084276114687,animal.Erythropygia_coryphaeus,-0.97368078942525,-1.70676268327847,0.400947074626299,0.665455915045094,-0.841686360179512,0.683290057151151,-0.842650029830857,-0.503360467957353,-0.23944292478732,-1.30236662288884,-0.892168636560007,0.718056646640598,-1.0054580055973,-0.619581159990807,0,-3.05583963115251,5.51103621189422,-4.54805232179326,0.289251431674478,1.38232081382323,-0.974165500355217,1,1,0,-1.59161805456331,16.88,3.246,17.1,0.192,0.849,0.725,0.41,33.485,31.091,23.85,0.929,0.39,0.333,0.552,10.952,1.113,11.2,0.102,0.542,0.421,6.86e-09,4.88e-09,6.95e-09,0.712,0.585,0.429
PASSERIFORMES,Euplectes_orix,Euplectes_orix,Female_only,Polygynous,Noncooperative,473,121,166,87,594,253,473,121,166,87,594,253,34.3873517786561,-33.26,25.45,27.68279817,436.5523137,0.472442115,17.74166667,14.77703711,0.642517101,1.047054817,0.113453216,0.811078384,12,41.68440367,600.2934862,301.8182267,19.38394495,6.921238532,0.359809293,1.047054817,0.113453216,0.02425761,0,0.626616335852434,3.84409119428767,0.801571644333805,5.26144449462313,20.8938343465243,animal.Euplectes_orix,0.557329836679397,-1.7024297449822,0.484783977060749,0.795888346518245,-0.764955106703969,0.852186323093511,-0.899443306002339,-0.549197467821848,-1.08767567774977,0.664825625269782,-0.736703905617364,0.882527750392244,-1.11045465278569,-0.788357309755646,1,-2.57928989030417,4.74281899101059,-6.57826268459704,0.357928512878652,1.13834601435291,-1.51416678166887,1,1,0,0.30689711239113,17.953,3.647,18.05,0.203,0.867,0.736,0.445,31.836,24.528,25.85,0.77,0.12,0.327,0.529,14.621,1.087,14.7,0.074,0.356,0.365,1.17e-08,7.58e-09,1.26e-08,0.649,0.149,0.152
PASSERIFORMES,Ficedula_albicollis,Ficedula_albicollis,Male_Female,Pair,Noncooperative,1716,418,189,162,2134,351,1716,418,189,162,2134,351,46.1538461538462,49.32,17.04,48.26475535,790.1591986,0.611757719,8.475764526,62.57796428,0.513921279,1.180118107,1.438571215,0.792163302,10,58.40144168,981.6365181,78.56000735,14.07444299,17.67633028,0.604883119,1.418534218,1.376982505,0.012519367,0,0.746898593069036,7.9106235076636,0.716883030207857,6.94728402686978,28.1097705184514,animal.Ficedula_albicollis,1.08120349919266,0.682997218393486,0.386721619693054,-0.305801653867074,0.17576919246526,-0.755379746660531,-0.535634438424223,-0.500260114792361,0.0961147510926221,1.04243838518232,0.421399110280983,-0.761494232126461,-0.514377719375006,-0.609641152136717,1,-8.67630031031991,1.52256939746896,-1.95878754165131,-0.520730824912017,0.115640811357071,-0.285465292458532,0,1,0,1.56316921009434,8.519,7.576,8.7,0.889,0.847,0.592,0.474,51.472,29.97,45.3,0.582,0.259,0.443,0.33,8.949,2.607,9.6,0.291,0.74,0.347,1.29e-08,8.75e-09,1.25e-08,0.678,0.802,0.566
PASSERIFORMES,Ficedula_hypoleuca,Ficedula_hypoleuca,Male_Female,Polygynous,Noncooperative,3600,401,619,187,4001,806,3600,401,619,187,4001,806,23.2009925558313,41.4,-3.27,50.26582569,1066.943919,0.52547712,9.371559633,45.79982624,0.544004399,0.886356754,0.40665022,0.8447132,12,49.87916121,693.0934207,71.35264751,11.12123198,20.62203582,0.785746843,0.886356754,0.40665022,0.007590109,0,0.502564005154704,6.76755688856769,0.73756653869329,7.08983960961036,32.6641075034969,animal.Ficedula_hypoleuca,0.0592852373799887,0.45421807635019,0.149902775681416,-0.199294106470295,-0.154425284577215,-0.37931307332538,-0.500263305933141,-0.461954549618727,-0.637027440868793,0.275377139247461,0.0958664950369329,-0.359974583037715,-0.463973103173287,-0.496844477238784,1,-6.96595453704904,1.34880988955984,-3.63435825749677,-0.27424751899512,0.0604572773958995,-0.73113848478655,0,1,0,0.549624658242581,9.923,6.357,8.8,0.641,0.866,0.654,0.483,57.014,40.003,49.45,0.702,0.153,0.353,0.326,10.847,2.775,10.6,0.256,0.789,0.409,1.03e-08,6.37e-09,9.29e-09,0.616,0.698,0.527
PASSERIFORMES,Ficedula_parva,Ficedula_parva,Male_Female,Pair,Noncooperative,147,12,25,8,159,33,147,12,25,8,159,33,24.2424242424242,52.41,23.52,44.72782875,795.5924145,0.594879138,7.827293578,77.01316027,0.489223217,1.743223812,3.104582928,0.612731829,10,55.69017038,918.7701136,94.13108729,13.58558322,21.96780253,0.590976929,2.094715334,2.958791286,0.071975554,0,0.514805955119811,8.77571423133183,0.699444934930549,6.68788671779061,28.2062477919343,animal.Ficedula_parva,0.105652372273045,0.772255747296742,0.462279773764714,-0.382903046462138,0.459854469363106,-1.06412824130355,-0.598153529772022,-0.499508185981193,-0.0473056703573758,0.313809378714923,0.667767293022443,-1.10001213403138,-0.60609508011624,-0.607251711985972,1,-9.81048907330362,0.594891636756157,-2.2116381545791,-0.684182332907032,-0.178976374368923,-0.352719236908595,0,0,0,0.997991711621956,7.495,8.601,8.2,1.148,0.84,0.573,0.478,46.342,25.799,41.15,0.557,0.302,0.48,0.312,8.302,2.692,8.8,0.324,0.726,0.351,1.25e-08,9.18e-09,1.16e-08,0.735,0.797,0.511
PASSERIFORMES,Fringilla_coelebs,Fringilla_coelebs,Male_Female,Pair,Noncooperative,39,8,10,3,47,13,39,8,10,3,47,13,23.0769230769231,53.2,-1.32,63.05672783,1089.506466,0.546020055,8.82706422,23.4165916,0.568280691,0.931026654,0.89911731,0.797556324,10,60.86015727,1020.270655,142.7630426,12.09370904,10.29132372,0.444767314,1.12348577,0.849575335,0.014304368,0,0.501093013265357,4.83906929067977,0.753843943399428,7.94082664651483,33.0076728352667,animal.Fringilla_coelebs,0.0537613548837039,0.795075888990455,0.172640183156684,-0.264033097065637,-0.594928303377852,-0.0758370916668041,-0.274169957173395,-0.458832010508394,-0.462470326409947,0.270759123922517,-0.453345248809376,-0.043988645241554,-0.163082221433038,-0.488335439115104,1,-5.64926246545363,2.09079752413069,-2.97815818931553,-0.0844948854906399,0.296101935485777,-0.556600474288658,0,1,0,0.355254009413157,9.34,4.621,9,0.495,0.831,0.664,0.456,59.903,29.085,56.95,0.486,0.075,0.436,0.245,7.488,1.85,7.6,0.247,0.693,0.353,1.34e-08,7.75e-09,1.35e-08,0.58,0.805,0.607
PASSERIFORMES,Geospiza_fortis,Geospiza_fortis,Male_Female,Pair,Noncooperative,179,44,60,33,223,93,179,44,60,33,223,93,35.4838709677419,-0.75,-90.22,75.62782875,4028.760787,0.699745647,22.20221713,3.284696275,0.763861472,1.846948823,0.719366894,0.689117739,12,75.62782875,4028.760787,591.6948331,22.20221713,3.284696275,0.175256742,1.846948823,0.719366894,0.02787382,0,0.638116203172301,1.81237310590287,0.873991688747668,8.69642620563183,63.4725199357958,animal.Geospiza_fortis,0.606149604512174,-0.763337584902959,-0.863952393536307,1.32623539331694,-0.991124867791875,2.36910258476837,-0.0519618381923884,-0.0520545056221455,0.843764433034019,0.700928178861398,-1.31531454099193,2.28838550612676,0.104081680865956,0.266183487678662,1,2.28571082567865,8.14739410366497,-0.580313232512776,1.05903905935621,2.21959036531405,0.0811853299748751,1,1,1,-0.358110880494811,22.755,1.853,22.7,0.081,0.766,0.798,0.524,60.132,57.885,44.8,0.963,0.115,0.476,0.468,9.95,0.936,9.65,0.094,0.848,1,,,,,,
PASSERIFORMES,Geospiza_scandens,Geospiza_scandens,Male_Female,Pair,Noncooperative,147,12,56,10,159,66,147,12,56,10,159,66,15.1515151515152,-0.75,-90.22,75.62782875,4028.760787,0.699745647,22.20221713,3.284696275,0.763861472,1.846948823,0.719366894,0.689117739,12,75.62782875,4028.760787,591.6948331,22.20221713,3.284696275,0.175256742,1.846948823,0.719366894,0.02787382,0,0.399816663950217,1.81237310590287,0.873991688747668,8.69642620563183,63.4725199357958,animal.Geospiza_scandens,-0.299097563363815,-0.763337584902959,-0.863952393536307,1.32623539331694,-0.991124867791875,2.36910258476837,-0.0519618381923884,-0.0520545056221455,0.843764433034019,-0.0471867033651157,-1.31531454099193,2.28838550612676,0.104081680865956,0.266183487678662,1,2.28571082567865,8.14739410366497,-0.580313232512776,1.05903905935621,2.21959036531405,0.0811853299748751,1,1,1,-1.10622576272132,22.755,1.853,22.7,0.081,0.766,0.798,0.524,60.132,57.885,44.8,0.963,0.115,0.476,0.468,9.95,0.936,9.65,0.094,0.848,1,,,,,,
