Training R^2,Validation R^2
0.207452740282024,0.210531623035797
0.250888480496043,0.0966798188738059
0.230862191711744,0.178904083018045
0.285074084949534,-0.0116813642490317
0.272551671140507,0.0663156981406415
0.228336969022146,0.246722186953641
0.309970099589066,-0.226783611081126
0.274518065471084,-0.0840738508764003
0.24891995815961,0.0249623727906922
0.225500653971647,0.169775117704534
0.323992963354169,-0.00788793307914015
0.241201059014029,0.0667284245670321
0.338781475638288,-0.0645581747261719
0.191123685182446,0.271471312343815
0.29203177878397,0.0369113755683443
0.248594467892897,-0.293022266802484
0.261941846855024,-0.0560136960792137
0.274306979656719,0.190076599833398
0.288350005345226,0.0122868274528952
0.259314298213122,0.0765768968999192
0.277049497445958,0.167960024495737
0.178681376576425,0.298244706949319
0.263559737376156,0.116863581921341
0.223732150061608,0.265339753103051
0.255601440627542,-0.143962208633724
0.234362740105833,0.0603928820358014
0.301600818350785,0.0182780113629506
0.259836615513847,0.065947088589455
0.238191659767938,0.167837555680398
0.312022936990986,-3.45712167063741
0.246616523799136,-0.264536784206343
0.20171747653691,0.239936414310705
0.233790461259776,0.116558821775375
0.255588190027189,-0.100143818755178
0.278598313117156,-0.336297214669636
0.235848641828356,0.235126840832399
0.220136614865166,0.271629184757985
0.252471869220789,0.0997928240364132
0.24792615405552,0.254381066260846
0.254613485034999,0.225871149943655
0.242877886600397,0.0907167581380845
0.322790437216742,-0.0502270514393772
0.256936575121851,0.097196737312724
0.248276543853613,0.176531545952232
0.173940871564508,0.296042569108328
0.270487426768698,0.181575007622223
0.287613240070918,0.11425412569254
0.278790603190152,0.0559277970455105
0.242008300141416,0.240472086469484
0.279851878791496,-0.00308662828181383
0.265766932823253,0.0766330617742351
0.240210270338921,0.192215437121794
0.259787316167091,0.0766592603478186
0.266265927861232,0.0682134140291421
0.244284678640026,0.0201300287577114
0.231526936450154,0.226382034242822
0.296895579865685,-0.104259368655287
0.266877080472912,0.193966278383734
0.293734100895378,-0.269520643458989
0.199988656019036,0.274763587678205
0.295154040963969,-0.0214826914121147
0.315755466304017,-0.155233837028904
0.26365016576806,0.113350496759533
0.222437200139731,0.268327538484894
0.273995599719451,0.0109847219244724
0.283317118052273,0.0171352007251782
0.288560947279173,0.0249845319818506
0.205326193841675,0.108682069063233
0.25920530069346,0.1134236302233
0.297946948224787,0.104570680111541
0.360997952322636,-0.200722162130145
0.30079096040915,0.0690300977821486
0.23957449225701,0.175681222232103
0.233080635031272,0.220485720505803
0.240776797742679,0.0884791579141395
0.253665972325355,0.0719228689258851
0.23849145869092,0.118152629354657
0.279662274450362,0.0726013016530177
0.269519392377348,0.147494365461875
0.266792715858008,0.114111109316566
0.180714376353155,0.203878207543
0.257996716671129,0.1401268305328
0.233084249674299,0.132142470590288
0.2779023266619,-0.0606929758665487
0.328378980667052,-0.150027445127828
0.293750595045478,-0.316352084440862
0.224254628668101,0.051211489141178
0.226106475892219,0.109398296951021
0.232593842131776,0.019342209740557
0.240161264209805,0.0744449724592048
0.185299296544013,0.27070334082298
0.220629096104036,0.198042071294379
0.261941202225397,0.0230294726594714
0.277026023868736,0.165512588976079
0.188938273135445,0.159310694304478
0.251702336386517,0.149927399425392
0.16444522414439,0.20507495790879
0.29486294147706,-0.372000808156828
0.292789721570577,0.0827304751349115
0.256359420460694,0.0991984267124965
0.205354682987246,0.315740896572345
0.231739075176264,0.169228224292102
0.242693316374587,0.114766726462898
0.186456687108423,0.189371888596809
0.28100584096683,0.0420332677283378
0.170429496718093,0.154049188603163
0.252310771348493,0.183478997822177
0.285434197143046,0.0396277806066814
0.315149749032141,-0.0502209830326699
0.210563321276459,0.20613298907922
0.278208797166425,0.0134661001513741
0.230242271818775,0.0718310018218377
0.2325097231218,0.191816855576518
0.238303793565765,0.187728079176072
0.245986551706669,0.258213636943185
0.26112715034946,0.0805279685536364
0.251123335800049,0.157102973207717
0.228922048483463,0.0337374709003131
0.227855912654804,0.191861097423874
0.256291044865358,0.0939561291422609
0.215420915538115,0.11767850904858
0.235602051061892,0.218779694684373
0.185376611812143,0.370867995445055
0.211213643320797,0.149383574635451
0.291932603104755,0.126740571220204
0.198217543798968,0.0968801233353154
0.202529820230827,0.297239816807241
0.254719241723893,0.134312058483928
0.304073748548854,0.0702547247641316
0.276101459638245,-0.150991712549546
0.262971212757917,0.150017801349344
0.264973052382751,-0.229764175260051
0.248995030994634,0.135621959785874
0.284407885996646,-0.0454311377562322
0.201189573692364,0.147914802742457
0.246810086391582,0.129958403683527
0.256463513904254,0.134379147019989
0.229545139006251,0.189360229683383
0.31237564797797,-0.116262280619336
0.251141240813385,0.187338178709862
0.192947885136871,0.20675532582763
0.251669606141002,0.192830872748715
0.213552820116823,0.189402021275098
0.262971121201749,0.204794132575444
0.253140551633376,0.109171750320436
0.274904183004504,0.0636599462757674
0.361236063151671,-0.256448133044166
0.229912897407732,0.219658247483976
0.297629793272536,0.0518544951423546
0.294646465653837,-0.11802021577911
0.256830951006066,0.109787490614533
0.190425146327686,0.307934535758957
0.306058634202411,-0.0674364853820413
0.231985977801334,0.277301286884371
0.254810486789776,0.1698351630434
0.275853804721136,-0.0261806060716141
0.246769788021639,0.161042117931105
0.179110916664593,0.337693670352458
